ab	abk_Cyrl_GE	abk
acm	acm_Arab_XX	acm
ady	ady_Cyrl_RU	ady
af	afr_Latn_ZA	afr
afb	afb_Arab_XX	afb
afh	afh_Latn_XX	afh_Latn
aii	aii_Syrc_IQ	aii_Syrc
ain	ain_Kana_XX	ain_Kana
ajp	ajp_Arab_XX	ajp
akl	akl_Latn_XX	akl_Latn
aln	aln_Latn_XK	aln
alt	alt_Cyrl_XX	alt
am	amh_Ethi_ET	amh
an	arg_Latn_ES	arg
ang	ang_Latn_XX	ang_Latn
aoz	aoz_Latn_XX	aoz
apc	apc_Arab_XX	apc
ar	ara_Arab_XX	ara
arq	arq_Arab_DZ	arq
ary	ary_Arab_MA	ary
arz	arz_Arab_EG	arz
as	asm_Beng_IN	asm
ast	ast_Latn_ES	ast
avk	avk_Latn_XX	avk_Latn
awa	awa_Deva_IN	awa
ay	aym_Latn_BO	aym
ayl	ayl_Arab_XX	ayl
az	aze_Latn_XX	aze_Latn
ba	bak_Cyrl_RU	bak
bal	bal_Arab_XX	bal
ban	ban_Latn_ID	ban
bar	bar_Latn_XX	bar
bcl	bcl_Latn_PH	bcl
be	bel_Cyrl_BY	bel
ber	ber_Latn_XX	ber_Latn
bfz	bfz_Taml_XX	bfz_Sinh
bg	bul_Cyrl_BG	bul
bho	bho_Deva_XX	bho
bi	bis_Latn_VU	bis
bjn	bjn_Latn_ID	bjn
bm	bam_Latn_ML	bam_Latn
bn	ben_Beng_BD	ben
bo	bod_Tibt_CN	bod
br	bre_Latn_FR	bre
brx	brx_Deva_IN	brx
bs	bos_Latn_BA	bos_Latn
bua	bua_Cyrl_XX	bua
bvy	bvy_Latn_XX	bvy_Latn
bzt	bzt_Latn_XX	bzt_Latn
ca	cat_Latn_ES	cat
cay	cay_Latn_XX	cay
cbk	cbk_Latn_XX	cbk_Latn
ce	che_Cyrl_RU	che
ceb	ceb_Latn_PH	ceb
ch	cha_Latn_GU	cha
chg	chg_Latn_XX	chg_Arab
chn	chn_Latn_XX	chn_Latn
cho	cho_Latn_XX	cho
chr	chr_Cher_US	chr
cjy	cjy_Hans_XX	cjy_Hans
ckb	ckb_Arab_IQ	ckb
ckt	ckt_Cyrl_XX	ckt
cmn	cmn_Hans_XX	cmn_Hans
cmo	cmo_Khmr_XX	cmo_Khmr
co	cos_Latn_FR	cos
cpi	cpi_Latn_XX	cpi_Latn
crh	crh_Zyyy_XX	crh
crk	crk_Cans_XX	crk
crs	crs_Latn_SC	crs
cs	ces_Latn_CZ	ces
csb	csb_Latn_PL	csb_Latn
cv	chv_Cyrl_RU	chv
cy	cym_Latn_GB	cym
cycl	cycl_Latn_XX	cycl_Latn
cyo	cyo_Latn_XX	cyo_Latn
da	dan_Latn_DK	dan
de	deu_Latn_DE	deu
diq	diq_Latn_TR	diq
dng	dng_Cyrl_XX	dng
drt	drt_Latn_XX	drt_Latn
dsb	dsb_Latn_DE	dsb
dtp	dtp_Latn_XX	dtp
dv	div_Thaa_MV	div
dws	dws_Latn_XX	dws_Latn
ee	ewe_Latn_GH	ewe
egl	egl_Latn_XX	egl
el	ell_Grek_GR	ell
emx	emx_Latn_XX	emx_Latn
en	eng_Latn_US	eng
enm	enm_Latn_XX	enm_Latn
eo	epo_Latn_XX	epo
es	spa_Latn_ES	spa
et	est_Latn_EE	est
eu	eus_Latn_ES	eus
evn	evn_Cyrl_XX	evn
ext	ext_Latn_XX	ext
fi	fin_Latn_FI	fin
fj	fij_Latn_FJ	fij
fkv	fkv_Latn_XX	fkv_Latn
fo	fao_Latn_FO	fao
fr	fra_Latn_FR	fra
frm	frm_Latn_XX	frm_Latn
fro	fro_Latn_XX	fro_Latn
frr	frr_Latn_XX	frr
fuc	fuc_Latn_XX	fuc
fur	fur_Latn_IT	fur
fuv	fuv_Latn_NG	fuv
fy	fry_Latn_NL	fry
ga	gle_Latn_IE	gle
gaa	gaa_Latn_GH	gaa
gag	gag_Latn_XX	gag
gan	gan_Hans_CN	gan
gbm	gbm_Deva_IN	gbm
gcf	gcf_Latn_XX	gcf_Latn
gd	gla_Latn_GB	gla
gil	gil_Latn_KI	gil
gl	glg_Latn_ES	glg
gn	grn_Latn_PY	grn
gom	gom_Deva_IN	gom
gos	gos_Latn_XX	gos
got	got_Goth_XX	got_Goth
grc	grc_Grek_XX	grc_Grek
gsw	gsw_Latn_CH	gsw
gu	guj_Gujr_IN	guj
gv	glv_Latn_IM	glv
ha	hau_Latn_NG	hau_Latn
hak	hak_Hans_CN	hak
haw	haw_Latn_US	haw
hax	hax_Latn_XX	hax
hbo	hbo_Hebr_XX	hbo_Hebr
hdn	hdn_Latn_XX	hdn
he	heb_Hebr_IL	heb
hi	hin_Deva_IN	hin
hif	hif_Latn_FJ	hif_Latn
hil	hil_Latn_PH	hil
hnj	hnj_Zyyy_XX	hnj
hoc	hoc_Zyyy_IN	hoc
hr	hrv_Latn_HR	hrv
hrx	hrx_Latn_XX	hrx_Latn
hsb	hsb_Latn_DE	hsb
hsn	hsn_Hans_CN	hsn
ht	hat_Latn_HT	hat
hu	hun_Latn_HU	hun
hy	hye_Armn_AM	hye
ia	ina_Latn_XX	ina_Latn
iba	iba_Latn_XX	iba
id	ind_Latn_ID	ind
ie	ile_Latn_XX	ile_Latn
ig	ibo_Latn_NG	ibo
ii	iii_Yiii_CN	iii
ike	ike_Latn_CA	ike_Latn
ilo	ilo_Latn_PH	ilo
io	ido_Latn_XX	ido_Latn
